set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12369] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12370] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12371] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12372] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12373] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12374] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12375] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12376] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12377] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12378] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12379] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12380] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12381] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12382] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12383] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12384] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12385] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12386] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12387] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12388] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12389] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12390] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12391] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12392] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12393] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12394] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12395] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12396] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12397] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12398] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12399] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12400] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12401] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12402] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12403] PHYSICAL METADATA BLOCK
